account_id,activity_count
relay.aurora,90073713
users.kaiching,69495212
hotwallet.kaiching,65514013
oracle.sweat,20531263
relayer.bridge.near,5868317
operator.orderly-network.near,5443366
0-relay.hot.tg,5012943
learn.sweat,3923798
perp.spin-fi.near,3917307
pizzamaker.near,3305252
32321118014239e6400ff018eef8f593aacbe93b7bc6f595ca02d2a791a2f440,2380922
gloriafoster.near,1717968
pythia.near,1675127
relayer.electron-dev.near,1618837
zerkalo.near,1552786
maymaymay.near,1417452
npo-aurora.near,1355702
impimpimp.near,1316486
feiyu.near,1162310
sneaky1.near,1127289
aceaceace.near,1079687
aldor.near,1061013
free-name.herewallet.near,871886
pob.ref-labs.near,832797
1521f66900f396aa2cf1abddfeff4915ded1257dcfa1ed72c5bcad89c4c18ae9,805789
frisky.near,795671
hooh_official.near,786909
thelittles.near,735536
reverseproxy.near,709618
meteor-relayer.near,704266
near-node-01.near,686780
5c33c6218d47e00ef229f60da78d0897e1ee9665312550b8afd5f9c7bc6957d2,644383
coin-op.near,599694
thorinoracle.near,563651
tpor-1.near,557422
operator.meta-pool.near,541740
b22c27d0-8ffe-11ee-8380-67b092434091.thelittles.near,536778
nex1234.near,514956
p1.spimm.near,410962
jfdidxcj4adxqu6i.near,392685
e589457354361489a89039b8be6737cbc2db4d13919b6ccf23889a60f3b0d8f3,368253
milescui.near,363685
yuxsccc.near,361704
65ca40c4de59b439db917daf9f527f605b448b3f5c6d5777d0b83a78e8dcf062,360088
000004bde9c0b25dca379a066f84eea713fdc85424369ff1e300109b22978f7c,356736
meteor-gastank.near,352513
aab2644330798a6b066cd6495156e81e00aecc3967104e61f67533f66eccf9b2,347184
ccb91e1db61e8d7e1d4ae3e043001140132959a86ee35a548b6563a46284a6ea,334868
3291ce9b85baad08ee61142daaff38f54b9e8ad46f2c4cc7d366182710c14bb2,328953
nearapps.near,324846
7nearapps.near,313300
6nearapps.near,310114
5nearapps.near,309825
13nearapps.near,309820
8nearapps.near,309766
9nearapps.near,309378
3nearapps.near,307866
1nearapps.near,307832
10nearapps.near,307804
14nearapps.near,307711
2nearapps.near,307530
4nearapps.near,306852
11nearapps.near,306799
12nearapps.near,304915
7747991786f445efb658b69857eadc7a57b6b475beec26ed14da8bc35bb2b5b6,304317
f31611d7286d7192916626da47c359050c270b50683169c7c6488bf2715b451f,302814
71fa9e3694943c13e78d6eb1a947e9b3d11b661c41fc9ed7aa60b5c38bb51762,287926
opfilabs.near,287719
neat-hunter.near,285765
sharddog.near,284544
sadoil.near,284145
makeloveandpeace1.near,282880
app.herewallet.near,278095
tradersieucapvodichvipro.near,276467
varb.near,272971
ytb-01.near,268787
17nearapps.near,265597
20nearapps.near,264726
18nearapps.near,264509
19nearapps.near,264493
15nearapps.near,263959
grandalex.near,254583
7c5206b1b75b8787420b09d8697e08180cdf896c5fcf15f6afbf5f33fcc3cf72,246956
ablecat.near,239331
calmgrain.near,234397
sweetowl.near,234075
51c0b243a75ace637d883afaae4e912d8d5842bfae11e8adfc9afc269fb0b70f,229531
ableglove.near,228994
72312181554de68434cb5eae2e4ef36143b90979f8ecc0d09b3aa17a9d475a0d,227788
firmbat.near,225003
cellfi-prod-delegate.near,218908
de1233e79c5bf1377e84125296c1b7fddcdc9797bf218a7b4b6aefcca56d2cdd,215610
d73888a2619c7761735f23c798536145dfa87f9306b5f21275eb4b1a7ba971b9,213678
ca1a3e7160b8c66af39387f27bfb7770831d15ee1c21a21ba35a6665479d1c05,211985
5623c9fbb2f1b6b12ba775031dbf52fab977a8b466b64f153f3743069e13bb34,207932
skyfighter.near,206273
601483a1b22699b636f1df800b9b709466eba4e1d5ce7c2e1e20317af8bbd1f3,206111
stader-epoch-runner.near,205233
sweat_oracle_0.near,205069
sweat_oracle_3.near,204940











