sheet,section_id,active_shards,rows,epoch_start,epoch_end,mean_net,median_net,min_net,max_net,mean_shard_sum
tps,1,4,1430,995.0,2424.0,11.752774411739647,5.39953766068483,2.37649606747976,172.915840695252,11.75277441173964
tps,2,5,14,2424.0,2437.0,44.117321521535395,44.686196078115145,29.6052422225013,54.4496628896184,44.117321521535374
tps,3,6,622,2439.0,3060.0,84.20648621214427,82.42053250112454,47.589616168337,484.077007432679,87.09861453160582
tps,4,7,48,3060.0,3063.0,68.77177353343298,68.95687948281494,51.7754931925534,88.9708171206225,68.41820624285005
tps,5,8,415,3064.0,3478.0,60.93564240277349,59.198798395,22.658396657,152.483010069,60.935642402773496
tps,6,9,373,3478.0,3850.0,52.25840791880368,51.867782869228,31.4907186648501,85.5103718646519,52.25840791869973
latency,1,4,1430,995.0,2424.0,2.6349754932188723,2.15378173870437,1.43522068059377,38.2035654629842,10.53990197287549
latency,2,5,14,2424.0,2437.0,11.690850284720039,6.312765280925265,3.40818360555237,67.8492423550802,58.45425142360012
latency,3,6,622,2439.0,3060.0,4.002624489100029,3.199481065648675,2.3625705524861,73.3128767621035,24.01574693460017
latency,4,7,51,3060.0,3063.0,3.1879809132849126,3.14493852519223,2.60827924545444,3.74213744617802,22.315866392994383
latency,5,8,415,3064.0,3478.0,2.085911542595556,1.724279559396,1.14601494409332,4.06504677315817,16.687292340764454
latency,6,9,373,3478.0,3850.0,1.822079721363716,1.80463977681682,1.36500941864047,2.57354742906962,16.39871749227345
